GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00943	2	2	Xh	sp|Q9FZX0|P56_BPGA1 Protein p56
VOG00962	3	3	XhXr	sp|P29324|POLN_HEVBU Non-structural polyprotein pORF1
VOG00985	9	9	XhXp	sp|P0DTK8|PLP_BPPM6 Glycyl-dTMP PLP-dependent decarboxylase
VOG01021	4	4	XhXr	sp|A1XIP9|POL1_TOTV RNA1 polyprotein
VOG01031	188	188	XhXr	sp|B3VML1|RDRP_OUMVV RNA-dependent RNA polymerase
VOG01033	37	37	Xh	sp|O27392|ARGD_METTH Acetylornithine aminotransferase
VOG01050	4	4	XhXp	sp|P54094|VP3_CAVCI Apoptin
VOG01058	21	21	Xh	sp|P24080|Y132_NPVOP Uncharacterized 26.0 kDa protein in PP34-EXO intergenic region
VOG01064	4	4	Xr	sp|P0CF88|INSI1_ECOLI Transposase InsI for insertion sequence element IS30A
VOG01066	150	136	Xh	sp|O10364|CATV_NPVOP Viral cathepsin
VOG01086	75	75	Xp	sp|E1XT70|HMUD1_BPSAV 5-hmdU DNA kinase 1
VOG01118	52	52	XhXs	sp|A0A7H0DN63|PG091_MONPV Protein OPG091
VOG01145	2	2	XhXrXs	sp|P36309|POLG_ASGVP Genome polyprotein
VOG01230	2	2	Xs	sp|B3VML3|CAPSD_OUMVV Capsid protein
VOG01249	2	2	Xp	sp|F5HE74|U148A_HCMVM Protein UL148A
VOG01274	2	2	Xh	sp|P38060|HMGCL_MOUSE Hydroxymethylglutaryl-CoA lyase, mitochondrial
VOG01375	3	3	Xh	sp|Q5UPV5|YL279_MIMIV Putative ankyrin repeat protein L279
VOG01414	250	250	XhXpXrXs	sp|P03737|TIPM_LAMBD Tail tip protein M
VOG01450	77	77	Xp	sp|P39229|ADFA_BPT4 Anti-DarT factor A
VOG01469	255	239	XhXr	sp|Q9XDH5|DPO3A_THEAQ DNA polymerase III subunit alpha
VOG01498	620	614	XhXr	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda
VOG01520	175	173	XhXpXs	sp|P12528|FIBER_BPP22 Tail spike protein
VOG01563	7	7	XrXs	sp|A0A097I2D0|H4H3_MELV Histone doublet H4-H3
VOG01564	101	98	XhXpXr	sp|P11824|SHUT_ADE41 Shutoff protein
VOG01573	14	14	Xh	sp|Q5UR19|YR656_MIMIV Uncharacterized protein R656
VOG01646	9	9	Xs	sp|Q5UNW0|YR695_MIMIV Uncharacterized protein R695
VOG01661	13	13	XhXr	sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase
VOG01668	3	3	Xh	sp|Q5UPU4|YR267_MIMIV Putative ankyrin repeat protein R267
VOG01687	81	80	XhXs	sp|Q9W850|MATRX_MEASC Matrix protein
VOG01694	6	6	Xs	sp|F5HGU6|UL132_HCMVM Envelope glycoprotein UL132
VOG01712	4	4	Xp	sp|Q3KST0|EBNA6_EBVG Epstein-Barr nuclear antigen 6
VOG01718	6	6	XhXpXrXs	sp|P08544|POLG_TMEVB Genome polyprotein
VOG01734	7	7	Xs	sp|Q5UQ80|YL515_MIMIV Uncharacterized protein L515
VOG01746	10	10	XhXrXs	sp|A7J398|RDRP_ROTBN RNA-directed RNA polymerase
VOG01751	136	136	XhXpXrXs	sp|Q6QGE1|TTTP_BPT5 Tail tube terminator protein p142
VOG01774	3	3	XhXrXs	sp|Q7T6X7|RPO2_MIMIV DNA-directed RNA polymerase subunit 2
VOG01790	3	3	XhXpXr	sp|P22956|RDRP_RCNMV RNA-directed RNA polymerase
VOG01793	10	8	XhXpXrXs	sp|P0C6M6|LHDAG_HDVV2 Large delta antigen
VOG01838	46	46	Xs	sp|P28949|TEG3_EHV1B Tegument protein UL14 homolog
VOG01845	8	8	XpXrXs	sp|O91743|NCAP_I93A0 Nucleoprotein
VOG01847	36	36	XhXr	sp|P04518|RDRP_CARMV RNA-directed RNA polymerase
VOG01881	7	7	Xh	sp|P33236|MOKC_ECOLI Regulatory protein MokC
VOG01888	2	2	Xs	sp|P09279|SCP_VZVD Small capsomere-interacting protein
VOG01889	5	5	Xh	sp|Q5UQJ2|YR863_MIMIV Putative ankyrin repeat protein R863
VOG01952	37	22	XpXs	sp|Q90125|CAPSD_GMDNV Capsid protein VP1
VOG01989	2	2	XrXs	sp|Q4VKV7|PHOSP_TUPVT Phosphoprotein
VOG01993	34	34	XhXrXs	sp|Q01021|CVC1_SHV21 Capsid vertex component 1
VOG02006	7	7	Xs	sp|Q5UR17|YR658_MIMIV Uncharacterized protein R658
VOG02023	3	3	Xr	sp|Q5PES4|ENDPH_SALPA Probable replication endonuclease from prophage-like region
VOG02034	31	30	XhXr	sp|P08386|GP167_BPPZA DNA replication protein 16.7
VOG02125	4	4	Xh	sp|Q5I0G4|GARS_RAT Glycine--tRNA ligase
VOG02158	31	17	XhXp	sp|P34016|PG001_VAR67 Chemokine-binding protein
VOG02199	2	2	Xs	sp|B4YNE8|V8_SPTNK Structural protein V8
VOG02210	9	9	Xs	sp|Q5UQF4|YL485_MIMIV Uncharacterized protein L485
VOG02270	13	13	Xr	sp|P20214|VINT_SSV1 Integrase
VOG02303	97	97	XhXs	sp|P17499|MCP_NPVAC Major capsid protein
VOG02357	5	5	Xs	sp|O90305|VME1_BRV1 Membrane protein
VOG02365	26	25	XhXrXs	sp|P16799|CVC1_HCMVA Capsid vertex component 1
VOG02383	11	11	XhXpXs	sp|O11459|VP24_EBOG4 Membrane-associated protein VP24
VOG02424	4	4	Xh	sp|P04152|UMUC_ECOLI Protein UmuC
VOG02446	2	2	XhXs	sp|Q91ID5|VP5_LDCPR Putative structural protein VP5
VOG02491	669	651	Xh	sp|Q46L44|CLPP1_PROMT ATP-dependent Clp protease proteolytic subunit 1
VOG02499	10	10	XhXrXs	sp|Q672I1|POLG_SVSAP Genome polyprotein
VOG02518	1136	915	Xr	sp|P00471|TYSY_BPT4 Thymidylate synthase
VOG02554	132	132	Xs	sp|P85226|VPN2_BPPHE Putative major capsid protein
VOG02561	2	2	XhXpXrXs	sp|P0DXX7|TIPJ_BPS27 Tip attachment protein J
VOG02581	7	7	XhXs	sp|Q5UPL2|YR135_MIMIV Putative GMC-type oxidoreductase R135
VOG02610	5	4	Xh	sp|P32231|VC01_SWPVK Putative Ig-like domain-containing protein C1
VOG02611	22	22	Xh	sp|Q2G2X2|TARD_STAA8 Glycerol-3-phosphate cytidylyltransferase
VOG02612	4	3	Xh	sp|A2VEA3|ARI1_BOVIN E3 ubiquitin-protein ligase ARIH1
VOG02629	9	9	Xs	sp|P89028|P32K_ADEO7 Structural protein p32K
VOG02630	8	8	Xh	sp|A0A4Z3|A3LT2_RAT Alpha-1,3-galactosyltransferase 2
VOG02737	4	4	Xh	sp|A0ALF8|Y2422_LISW6 Nucleotide-binding protein lwe2422
VOG02741	53	53	XhXpXs	sp|Q9JFC1|PG094_VACCT Entry-fusion complex protein OPG094
VOG02760	2	2	XhXrXs	sp|Q6UP17|POLG_EOPV Genome polyprotein
VOG02782	323	323	XhXp	sp|P39504|SPAN1_BPT4 Spanin, inner membrane subunit
VOG02810	2	2	XhXr	sp|Q1KZ59|POLG_CILVC RNA replication protein
VOG02814	11	11	Xh	sp|P44758|PRX5_HAEIN Hybrid peroxiredoxin hyPrx5
VOG02844	42	42	XpXrXs	sp|Q38584|HCP15_BPSPP Head completion protein gp15
VOG02855	188	187	XhXs	sp|Q7Y5D9|COLLR_BPT5 Collar protein p132
VOG02899	85	85	Xh	sp|P07693|ADOM_BPT3 S-Adenosylmethionine lyase
VOG02902	3	3	XpXrXs	sp|Q65387|MVP_BBTVA Movement and RNA silencing protein
VOG02918	3	3	XhXrXs	sp|Q9INI4|VP3_BANNV Viral guanylyltransferase VP3
VOG02919	2	2	Xh	sp|Q5UQQ5|YR858_MIMIV Putative ankyrin repeat protein R858
VOG02932	2	2	Xh	sp|Q13637|RAB32_HUMAN Ras-related protein Rab-32
VOG02989	6	6	XhXs	sp|Q9JGT5|MATRX_NCMV Matrix protein
VOG03054	1028	1022	XhXr	sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase
VOG03069	3	3	Xh	sp|P58777|CAT_KLESP Chloramphenicol acetyltransferase
VOG03087	35	35	XhXs	sp|P0DON1|PG161_VAR67 Protein OPG161
VOG03149	8	8	Xs	sp|Q5UPE0|YL065_MIMIV Uncharacterized protein L65
VOG03167	45	45	XhXrXs	sp|P21082|RP30_VACCC DNA-directed RNA polymerase 30 kDa polypeptide
VOG03185	2	2	XhXr	sp|P9WH76|NRDZ_MYCTO Vitamin B12-dependent ribonucleoside-diphosphate reductase
VOG03210	6	6	XhXpXrXs	sp|Q65730|POLG_BSTV1 Genome polyprotein
VOG03221	4	4	XhXr	sp|P29324|POLN_HEVBU Non-structural polyprotein pORF1
VOG03226	647	643	XhXrXs	sp|Q8B0H5|L_VSIVS RNA-directed RNA polymerase L
VOG03229	777	431	Xh	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease
VOG03278	568	568	XhXr	sp|P20376|SSDNA_BPT5 Probable ssDNA-binding protein
VOG03283	2	2	XpXrXs	sp|Q6XQC4|TMP_BPT1 Tape measure protein
VOG03286	3	3	Xh	sp|Q5JL96|ZFP34_ORYSJ Probable E3 ubiquitin-protein ligase RZFP34
VOG03293	2	2	XhXs	sp|Q5UPS7|COLL4_MIMIV Collagen-like protein 4
VOG03308	4	4	Xp	sp|Q910M3|E3CR1_ADE02 Early 3 Conserved Region 1-alpha protein
VOG03312	139	138	Xs	sp|Q9QBU3|CAPSD_POLVP Capsid protein
VOG03338	601	601	Xh	sp|P46343|PHOL_BACSU PhoH-like protein
VOG03356	7	7	XhXr	sp|Q9UXG1|MCM_SACS2 Minichromosome maintenance protein MCM
VOG03367	8	8	Xh	sp|P10481|NANH_CLOPF Sialidase
VOG03377	5	5	Xp	sp|P0DJX5|NSS_PUUMG Non-structural protein NS-S
VOG03380	8	7	XhXr	sp|P05664|DPOL_ADE07 DNA polymerase
VOG03383	53	52	Xs	sp|Q66655|GN_EHV2 Envelope glycoprotein N
VOG03423	2	2	XhXs	sp|P0CA30|VF124_ASFK5 Uncharacterized protein H124R
VOG03454	15	15	XhXp	sp|A0A7H0DMZ8|IL18B_MONPV Interleukin-18-binding protein
VOG03464	5	5	XhXr	sp|P36286|POLG_SMSV1 Genome polyprotein
VOG03484	35	35	XpXrXs	sp|Q24LI4|TSP_BPPCD Tail sheath protein
VOG03493	4	4	Xh	sp|P03218|BILF2_EBVB9 Glycoprotein BILF2
VOG03496	4	4	XhXs	sp|P0CAH4|VF448_ASFM2 Putative RNA-ligase
VOG03526	2	2	XhXs	sp|P16602|ATI_COWPX A-type inclusion protein A25 homolog
VOG03560	3	3	Xh	sp|Q5UPF1|YL072_MIMIV Putative ankyrin repeat protein L72
VOG03589	9	9	Xs	sp|Q8JVC1|CAPSD_PCVC Capsid protein
VOG03618	2	2	XhXpXrXs	sp|O36979|POLG_ZYMVS Genome polyprotein
VOG03630	2	2	Xh	sp|O88738|BIRC6_MOUSE Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6
VOG03638	4	4	XhXp	sp|P29566|T2MZ_METTF Type II restriction enzyme MthZI
VOG03679	97	97	Xh	sp|A0A0H2ZQT7|WALJ_STRP2 Exodeoxyribonuclease WalJ
VOG03773	21	21	Xh	sp|Q605H3|CMOA_METCA Carboxy-S-adenosyl-L-methionine synthase
VOG03817	2	2	Xh	sp|A0A7H0DN20|PG047_MONPV Immune evasion protein OPG047
VOG03823	141	140	XhXpXrXs	sp|Q6QGE2|TUBE_BPT5 Tail tube protein pb6
VOG03834	43	43	XhXpXs	sp|P07396|PG062_VACCW Phosphoprotein OPG062
VOG03847	195	192	XpXs	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein
VOG03858	108	108	Xs	sp|P85230|VPN6_BPPHE Virion protein 6
VOG03861	44	44	XpXs	sp|C7BG48|CAPSD_HASVA Capsid polyprotein VP86
VOG03871	7	7	XpXrXs	sp|P03421|PHOSP_HRSVA Phosphoprotein
VOG03922	134	134	Xh	sp|P24705|SODC_NPVAC Putative superoxide dismutase [Cu-Zn]
VOG03941	9	9	Xh	sp|Q5UR82|SYM_MIMIV Methionine--tRNA ligase
VOG03945	3	3	XhXp	sp|P0DTC6|NS6_SARS2 ORF6 protein
VOG03949	2	2	Xh	sp|Q38479|GP7_BPMU Uncharacterized protein gp7
VOG04005	9	9	Xs	sp|Q5UQA5|YL544_MIMIV Uncharacterized protein L544
VOG04008	4	4	Xh	sp|P37619|QPTR_ECOLI Queuosine precursor transporter
VOG04014	2	2	Xh	sp|P24655|Y002_NPVAC Uncharacterized Bro-N domain-containing protein ORF2
VOG04024	7	6	Xh	sp|Q5UQQ5|YR858_MIMIV Putative ankyrin repeat protein R858
VOG04038	96	96	XhXr	sp|P24307|HELI_NPVAC DNA replication helicase
VOG04043	19	19	Xh	sp|O55655|E3B14_ADE06 Early E3B 14.5 kDa protein
VOG04077	39	26	Xh	sp|Q5UQJ2|YR863_MIMIV Putative ankyrin repeat protein R863
VOG04106	2	2	XhXp	sp|Q77J49|UB222_WSSVS RING finger containing E3 ubiquitin-protein ligase WSV222
VOG04181	4	3	XhXs	sp|P0C8F2|PK1_ASFP4 Serine/threonine-protein kinase 1
VOG04183	2	2	XhXp	sp|P51727|HOLIN_BPHC1 Holin
VOG04292	45	45	Xh	sp|P18780|TERC_ALCSP Tellurium resistance protein TerC
VOG04324	204	178	XhXp	sp|Q6QGT3|A1_BPT5 Protein A1
VOG04412	5	5	Xs	sp|B4YNG0|CAPSD_SPTNK Putative capsid protein V20
VOG04435	4	4	XrXs	sp|Q82680|NCAP_IHNVW Nucleoprotein
VOG04441	44	43	Xh	sp|Q7U4L7|SPEH_PARMW S-adenosylmethionine decarboxylase proenzyme
VOG04442	106	106	Xs	sp|P28920|MCP_EHV1B Major capsid protein
VOG04518	7	7	Xs	sp|Q6EWG8|POL2_CRLVP RNA2 polyprotein
VOG04527	18	18	Xh	sp|P0AG11|UMUD_ECOLI Protein UmuD
VOG04592	140	139	XhXpXs	sp|P04010|VP1_POVLY Major capsid protein VP1
VOG04594	61	61	XhXpXr	sp|P0C6X1|R1AB_CVH22 Replicase polyprotein 1ab
VOG04641	11	11	Xh	sp|A2CA92|PCYA_PROM3 Phycocyanobilin:ferredoxin oxidoreductase
VOG04674	19	18	Xs	sp|F5HEN7|SCP_HCMVM Small capsomere-interacting protein
VOG04696	4	4	Xh	sp|Q5UQ76|PR519_MIMIV Zinc metalloproteinase R519
VOG04704	4	4	Xh	sp|P11904|PARM_ECOLX Plasmid segregation protein ParM
VOG04725	168	120	XhXpXs	sp|P04011|VP2_POVLY Minor capsid protein VP2
VOG04762	24	24	Xs	sp|Q5UQI1|YL829_MIMIV Uncharacterized protein L829
VOG04769	92	92	XhXs	sp|P24078|VP24_NPVOP Capsid protein p24
VOG04790	2	2	Xh	sp|Q8K2P7|S38A1_MOUSE Sodium-coupled neutral amino acid symporter 1
VOG04811	16	16	XhXs	sp|B2BNE7|VP6_AQRVG Clamp protein VP6
VOG04853	37	37	XhXs	sp|P13294|CEP3_HHV2H Cytoplasmic envelopment protein 3
VOG04864	4	4	XhXs	sp|P12326|P9_WTV Minor outer capsid protein P9
VOG04882	6	6	Xr	sp|Q38617|REP_BPPHL Replication-associated protein G2P
VOG04892	7	7	XpXr	sp|Q9QBU1|P14_POLVP RNA silencing suppressor p14
VOG04905	18	18	XpXr	sp|Q9T1R3|VP35_BPAPS Putative DNA transfer protein p35
VOG04923	38	37	XhXr	sp|P19593|RDPO_TETOB Probable reverse transcriptase
VOG04963	125	114	Xr	sp|A0A7H0DNC1|RUVV_MONPV Resolvase OPG149
VOG04989	4	4	Xh	sp|P0A9H7|CFA_ECOLI Cyclopropane-fatty-acyl-phospholipid synthase
VOG05014	47	47	XhXs	sp|Q01267|PRO_BPMU Protease I
VOG05032	5	5	Xh	sp|Q5UQI4|DHCR7_MIMIV Probable 7-dehydrocholesterol reductase
VOG05041	107	106	XhXr	sp|P28934|HELI_EHV1B DNA replication helicase
VOG05073	2	2	XhXr	sp|Q5UQR0|DPOL_MIMIV DNA polymerase
VOG05079	859	859	XhXp	sp|O64205|LYSB_BPMD2 Endolysin B
VOG05083	4	4	Xh	sp|O55653|E311_ADE06 Early E3A 11.6 kDa glycoprotein
VOG05127	2	2	Xs	sp|P0C9X7|P10_ASFK5 Structural DNA-binding protein p10
VOG05131	96	96	XhXs	sp|P32651|GP41_NPVAC Structural glycoprotein gp41
VOG05153	7	5	Xr	sp|O55265|VP9P_CTFVL Non structural protein VP9'
VOG05160	4	4	Xh	sp|B5XZG7|SYQ_KLEP3 Glutamine--tRNA ligase
VOG05165	203	126	XhXpXs	sp|P07297|CAPSD_PAVBP Minor capsid protein VP1
VOG05174	45	45	XhXpXs	sp|P04021|PG057_VACCW Envelope phospholipase OPG057
VOG05199	4	4	Xs	sp|P29249|MVP_RDVA Movement protein
VOG05210	2	2	Xh	sp|O59715|DEGS_SCHPO Sphingolipid delta(4)-desaturase
VOG05215	59	59	Xp	sp|E1XTK3|HMUD2_BPSAV 5-hmdU DNA kinase 2
VOG05222	18	12	XhXpXs	sp|A5HBE1|VP2_POVWU Minor capsid protein VP2
VOG05225	82	82	Xh	sp|Q83140|UDPE_NPVMB Ecdysteroid UDP-glucosyltransferase
VOG05264	12	12	Xh	sp|P11040|ETS_NPVAC Uncharacterized protein ETS
VOG05277	94	82	Xs	sp|P89518|OE66_NPVLS Occlusion-derived virus envelope protein E66
VOG05293	201	201	XhXp	sp|P13304|ANTIH_BPT4 Antiholin
VOG05352	1483	1457	Xh	sp|B6UL32|SAV_BPLP2 SaV protein
VOG05354	219	219	Xs	sp|P04532|GP57_BPT4 Tail fiber assembly helper protein
VOG05362	85	85	XrXs	sp|Q86134|NCAP_LNYV3 Nucleoprotein
VOG05371	193	192	XhXrXs	sp|Q01681|POLG_PPVEA Genome polyprotein (Fragment)
VOG05412	10	10	XhXpXs	sp|P03333|GAG_MLVAB Gag polyprotein
VOG05455	2	2	Xh	sp|O30409|TYCC_BREPA Tyrocidine synthase 3
VOG05465	3	3	XhXr	sp|Q96X45|EF2_NEUCR Elongation factor 2
VOG05471	7	7	XhXs	sp|P30025|US9_CHV1 Envelope protein US9 homolog
VOG05492	98	98	XhXs	sp|D3WAD0|GP12_BPLP2 Chaperone protein gp12
VOG05506	8	8	Xr	sp|Q6UAV6|PTELO_BPKO2 Protelomerase
VOG05555	356	351	XpXrXs	sp|Q9MCT0|GP7_BPHK7 Head completion protein gp7
VOG05606	98	98	XhXr	sp|O10340|LEF4_NPVOP mRNA capping enzyme LEF-4
VOG05612	327	325	Xh	sp|P08986|BIMM_BPT4 Immunity protein
VOG05614	2	2	XpXs	sp|A0A0A8J9A5|DPO21_BPK64 Depolymerase, capsule KN5-specific
VOG05682	2	2	Xh	sp|P36015|YKT6_YEAST Synaptobrevin homolog YKT6
VOG05692	4	4	XhXp	sp|Q9T1W9|RLEAS_BPMU Releasin protein
VOG05735	80	79	Xs	sp|A0A385DVU6|CAPSD_BPCA1 Major capsid protein
VOG05737	54	50	Xh	sp|Q5UQ62|YR655_MIMIV Putative glycosyltransferase R655
VOG05790	2	2	Xh	sp|P0CA84|VF183_ASFK5 Uncharacterized protein S183L
VOG05840	8	8	Xs	sp|Q82462|CAPSD_HASV Capsid protein
VOG05892	98	96	XhXs	sp|P11822|CAP8_ADE41 Pre-hexon-linking protein VIII
VOG05895	9	9	XhXs	sp|Q5UPY0|YL294_MIMIV Uncharacterized protein L294
VOG05925	5	5	XhXr	sp|Q1KZ59|POLG_CILVC RNA replication protein
VOG05929	151	150	Xs	sp|Q7Y5B1|SOC_BPR69 Small outer capsid protein
VOG05944	76	75	XhXr	sp|Q38199|GIN_BPD10 Serine recombinase gin
VOG06000	445	444	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG06046	31	31	Xh	sp|P0ADT5|YGIC_ECOLI Putative acid--amine ligase YgiC
VOG06048	7	7	Xh	sp|Q64770|GAM1_ADEG1 Protein GAM-1
VOG06057	98	98	XpXrXs	sp|D3KFX4|GP16_BPLP2 Baseplate protein gp16
VOG06058	365	131	Xh	sp|A8INH8|Y3753_AZOC5 PKHD-type hydroxylase AZC_3753
VOG06079	127	126	XpXs	sp|Q9G0B5|FIB37_BPAR1 Long tail fiber protein Gp37
VOG06113	47	47	Xs	sp|P28972|TEG4_EHV1B Tegument protein UL21 homolog
VOG06122	14	2	Xh	sp|Q9V427|INX2_DROME Innexin inx2
VOG06167	6	5	Xh	sp|Q9ICC1|V003_FOWPN Putative C-type lectin protein FPV003/FPV258
VOG06265	143	143	XhXr	sp|P04893|TERS_BPP22 Terminase, small subunit
VOG06283	6	6	Xh	sp|P54092|VP2_CAV26 Dual specificity protein phosphatase VP2
VOG06326	104	104	Xh	sp|Q06717|GSTG_BPT2 Beta-glucosyl-HMC-alpha-glucosyl-transferase
VOG06345	6	6	Xs	sp|Q914J4|CAPS1_SIFVH Major capsid protein 1
VOG06348	2	2	XhXs	sp|P0CA73|VF171_ASFK5 Uncharacterized protein H171R
VOG06367	11	11	Xh	sp|Q3SZJ9|PMM2_BOVIN Phosphomannomutase 2
VOG06401	50	50	XhXrXs	sp|O64312|TAPFS_BPP2 Tail assembly protein E'
VOG06405	4	4	Xs	sp|P13418|POLS_CRPVC Structural polyprotein
VOG06407	8	8	Xh	sp|P77931|PVADH_PSESP Polyvinylalcohol dehydrogenase
VOG06413	2	2	Xh	sp|A7YWG4|GGH_BOVIN Gamma-glutamyl hydrolase
VOG06422	7	4	XhXpXs	sp|P11077|MU1_REOVL Outer capsid protein mu-1
VOG06427	75	75	XhXpXrXs	sp|P19199|POL_COYMV Polyprotein P3
VOG06434	2	2	Xh	sp|P21062|SEMA_VACCC Semaphorin-like protein A39
VOG06445	26	26	Xs	sp|Q6Q304|GLYC_EMARV Envelope glycoprotein
VOG06492	3	3	Xh	sp|P25171|RCC1_DROME Regulator of chromosome condensation
VOG06502	2	2	Xh	sp|P24655|Y002_NPVAC Uncharacterized Bro-N domain-containing protein ORF2
VOG06506	22	22	XpXr	sp|P10357|P69_TYMV 69 kDa protein
VOG06517	89	89	Xh	sp|P04997|PSBA2_SYNE7 Photosystem II protein D1 2
VOG06539	2	2	Xs	sp|Q08544|P20_BYVU 20 kDa protein
VOG06556	3	2	XhXr	sp|P0C6K4|NS1A_HASV1 Non-structural polyprotein 1A
VOG06564	2	2	Xh	sp|O57263|VB18_VACCA Ankyrin repeat protein B18
VOG06570	3	3	XhXrXs	sp|Q05057|POLG_PYFV1 Genome polyprotein
VOG06571	6	6	Xs	sp|Q2Y0E5|VP6_APRVF Microtubule-associated protein VP6
VOG06578	221	221	XhXs	sp|P17313|VG31_BPT4 Capsid assembly protein Gp31
VOG06613	2	2	Xh	sp|P0DX92|RTCB1_ECOS1 RNA-splicing ligase RtcB1
VOG06663	7	7	Xh	sp|Q5UPX1|YL289_MIMIV Putative ankyrin repeat protein L289
VOG06725	7	7	Xh	sp|P94063|HAL3B_ARATH Probable phosphopantothenoylcysteine decarboxylase
VOG06753	16	16	XhXs	sp|P16602|ATI_COWPX A-type inclusion protein A25 homolog
VOG06763	9	9	Xs	sp|Q5UP59|YL591_MIMIV Uncharacterized protein L591
VOG06771	18	18	XhXpXrXs	sp|P19711|POLG_BVDVN Genome polyprotein
