Query	Query_name	Query_accession	Target_name	Target_accession	Evalue	score	bias	dom_Evalue	dom_score	dom_bias	exp	reg	clu	ov	env	dom	rep	inc	start	end	strand	misc
Tupanvirus_soda_lake	Tupanvirus_soda_lake_967	-	VOG00742	-	9.7e-27	93.0	18.2	2.1e-18	65.6	6.4	2.4	1	1	1	2	2	2	2	1122578	1123606	-1	ID=1_967;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
Tupanvirus_soda_lake	Tupanvirus_soda_lake_790	-	VOG00742	-	4.8e-25	87.4	3.5	1e-15	56.7	1.8	1.8	1	1	1	2	2	2	2	918587	919240	-1	ID=1_790;partial=00;start_type=ATG;rbs_motif=ATAT;rbs_spacer=12bp;gc_cont=0.281
GD2017_2_strous	GD2017_2_strous_1117	-	VOG00742	-	1.5e-24	85.8	4.4	4.8e-12	44.7	0.1	2.1	1	1	0	2	2	2	2	1233456	1234499	1	ID=1_1117;partial=00;start_type=ATG;rbs_motif=TAAAT;rbs_spacer=5bp;gc_cont=0.322
Tupanvirus_soda_lake	Tupanvirus_soda_lake_933	-	VOG00742	-	4.1e-23	81.1	4.2	5.2e-23	80.7	4.2	1.2	1	0	0	1	1	1	1	1091367	1092035	1	ID=1_933;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.327
GD2017-2_urea	GD2017-2_urea_34	-	VOG00742	-	5.2e-23	80.8	14.0	8.2e-14	50.5	1.2	3.4	1	1	1	3	3	3	3	28284	29882	-1	ID=1_34;partial=00;start_type=ATG;rbs_motif=TTTTTT;rbs_spacer=13bp;gc_cont=0.415
Pithovirus_LCDPAC01.fna|MK500287.1	Pithovirus_LCDPAC01.fna|MK500287.1_3	-	VOG00742	-	5.4e-23	80.7	3.8	2.2e-19	68.8	2.8	2.8	1	1	0	2	2	2	2	1082	2197	1	ID=3_3;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.340
GD2017_2_strous	GD2017_2_strous_129	-	VOG00742	-	6.2e-23	80.5	1.9	5.2e-12	44.6	0.2	1.9	1	1	1	2	2	2	2	125720	126514	1	ID=1_129;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=4bp;gc_cont=0.289
GD2017_2_strous	GD2017_2_strous_190	-	VOG00742	-	2.8e-22	78.4	10.8	3.7e-22	77.9	10.8	1.2	1	0	0	1	1	1	1	184991	185731	-1	ID=1_190;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=13bp;gc_cont=0.355
Tupanvirus_soda_lake	Tupanvirus_soda_lake_715	-	VOG00742	-	1.4e-21	76.1	1.1	9.2e-16	56.9	0.4	2.0	1	1	1	2	2	2	2	829632	830429	1	ID=1_715;partial=00;start_type=ATG;rbs_motif=TAT;rbs_spacer=3bp;gc_cont=0.288
GD2017-2_urea	GD2017-2_urea_33	-	VOG00742	-	2.2e-21	75.4	5.5	4.2e-12	44.9	2.8	2.4	1	1	1	2	2	2	2	27116	28246	-1	ID=1_33;partial=00;start_type=ATG;rbs_motif=TTTTT;rbs_spacer=13bp;gc_cont=0.384
Tupanvirus_soda_lake	Tupanvirus_soda_lake_216	-	VOG00742	-	3.2e-21	74.9	7.4	2.8e-15	55.3	1.2	2.0	1	1	0	1	1	1	1	211839	212645	-1	ID=1_216;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=14bp;gc_cont=0.261
GD2017_2_strous	GD2017_2_strous_347	-	VOG00742	-	4.7e-21	74.3	1.5	1.9e-20	72.3	1.5	1.7	1	1	0	1	1	1	1	364233	364970	1	ID=1_347;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=15bp;gc_cont=0.276
Pithovirus_LCDPAC01.fna|MK500278.1	Pithovirus_LCDPAC01.fna|MK500278.1_7	-	VOG00742	-	1.1e-20	73.2	0.0	1.1e-14	53.4	0.0	2.4	1	1	1	2	2	2	2	6288	7217	1	ID=11_7;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=12bp;gc_cont=0.366
Pithovirus_LCDPAC01.fna|MK500283.1	Pithovirus_LCDPAC01.fna|MK500283.1_3	-	VOG00742	-	1.5e-20	72.7	3.3	1.2e-11	43.4	0.4	3.1	1	1	2	3	3	3	3	1911	2885	1	ID=6_3;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353
GD2017-2_urea	GD2017-2_urea_128	-	VOG00742	-	3.5e-20	71.4	5.8	6.5e-10	37.7	0.1	2.1	1	1	1	2	2	2	2	123198	124358	1	ID=1_128;partial=00;start_type=ATG;rbs_motif=TAAAT;rbs_spacer=4bp;gc_cont=0.404
GD2017_2_strous	GD2017_2_strous_956	-	VOG00742	-	1e-19	69.9	9.3	1.3e-19	69.6	9.3	1.1	1	0	0	1	1	1	1	1075473	1076255	1	ID=1_956;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=15bp;gc_cont=0.281
GD2017-2_urea	GD2017-2_urea_44	-	VOG00742	-	1.9e-19	69.0	15.9	1.1e-09	37.0	1.5	3.0	1	1	2	3	3	3	3	37745	39109	1	ID=1_44;partial=00;start_type=ATG;rbs_motif=TTTTTT;rbs_spacer=14bp;gc_cont=0.394
GD2017_2_strous	GD2017_2_strous_415	-	VOG00742	-	2e-19	69.0	1.5	1.7e-15	56.1	0.5	1.9	1	1	1	2	2	2	2	447762	448514	-1	ID=1_415;partial=00;start_type=ATG;rbs_motif=TACAT;rbs_spacer=7bp;gc_cont=0.297
Pithovirus_LCDPAC01.fna|MK500278.1	Pithovirus_LCDPAC01.fna|MK500278.1_3	-	VOG00742	-	2.9e-19	68.4	2.5	1.1e-12	46.8	0.0	3.1	1	1	2	3	3	3	2	3081	4322	1	ID=11_3;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=14bp;gc_cont=0.351
Pithovirus_LCDPAC01.fna|MK500280.1	Pithovirus_LCDPAC01.fna|MK500280.1_19	-	VOG00742	-	1.5e-18	66.1	0.2	3.9e-14	51.6	0.0	2.9	3	1	0	3	3	2	2	14874	16382	1	ID=9_19;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=14bp;gc_cont=0.364
GD2017-2_urea	GD2017-2_urea_36	-	VOG00742	-	1.6e-18	66.0	11.2	8.5e-10	37.3	0.1	3.1	1	1	2	3	3	3	3	30804	32174	-1	ID=1_36;partial=00;start_type=ATG;rbs_motif=TTTT;rbs_spacer=11bp;gc_cont=0.389
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1196	-	VOG00742	-	1.1e-17	63.2	0.6	1.6e-17	62.7	0.6	1.1	1	0	0	1	1	1	1	1347212	1348219	-1	ID=1_1196;partial=00;start_type=ATG;rbs_motif=ATAT;rbs_spacer=5bp;gc_cont=0.381
GD2017_2_strous	GD2017_2_strous_89	-	VOG00742	-	3.6e-17	61.5	0.4	5.1e-17	61.1	0.4	1.1	1	0	0	1	1	1	1	79373	80386	-1	ID=1_89;partial=00;start_type=ATG;rbs_motif=TATATA;rbs_spacer=4bp;gc_cont=0.398
Tupanvirus_soda_lake	Tupanvirus_soda_lake_311	-	VOG00742	-	4.7e-16	57.9	4.4	6e-16	57.5	4.4	1.2	1	0	0	1	1	1	1	334609	335217	-1	ID=1_311;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=3bp;gc_cont=0.269
GD2017-2_urea	GD2017-2_urea_131	-	VOG00742	-	6.6e-16	57.4	0.1	1.1e-12	46.8	0.0	2.3	1	1	1	2	2	2	2	126281	127042	1	ID=1_131;partial=00;start_type=ATG;rbs_motif=TTTTTT;rbs_spacer=15bp;gc_cont=0.361
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1232	-	VOG00742	-	1.3e-15	56.4	0.1	4.5e-15	54.7	0.1	1.7	1	1	0	1	1	1	1	1390064	1390858	1	ID=1_1232;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=6bp;gc_cont=0.286
GD2017-2_urea	GD2017-2_urea_127	-	VOG00742	-	3.3e-15	55.1	6.9	7.5e-09	34.2	0.4	2.1	1	1	1	2	2	2	2	121989	123152	1	ID=1_127;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.403
Pithovirus_LCDPAC01.fna|MK500279.1	Pithovirus_LCDPAC01.fna|MK500279.1_11	-	VOG00742	-	4.1e-15	54.8	0.3	2.2e-06	26.1	0.1	2.0	1	1	0	1	1	1	1	4556	5389	-1	ID=10_11;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.371
GD2017_2_strous	GD2017_2_strous_555	-	VOG00742	-	1.3e-14	53.1	4.4	2.5e-09	35.8	1.9	3.2	1	1	2	3	3	3	2	588585	589652	-1	ID=1_555;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.288
Hydrivirus	Hydrivirus_939	-	VOG00742	-	5.3e-14	51.1	0.5	1.9e-07	29.6	0.1	1.7	1	1	1	2	2	2	2	970040	970915	-1	ID=1_939;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=7bp;gc_cont=0.362
Hydrivirus	Hydrivirus_206	-	VOG00742	-	1e-13	50.2	0.0	0.00022	19.5	0.0	3.5	3	1	0	4	4	3	3	221897	226096	1	ID=1_206;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
GD2017-2_urea	GD2017-2_urea_38	-	VOG00742	-	1.4e-13	49.8	0.0	1.7e-09	36.3	0.0	2.1	1	1	1	2	2	2	2	32599	33624	-1	ID=1_38;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=3bp;gc_cont=0.401
GD2017_2_strous	GD2017_2_strous_848	-	VOG00742	-	2.4e-13	49.0	2.7	3.2e-13	48.6	2.7	1.2	1	0	0	1	1	1	1	951777	952406	1	ID=1_848;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=3bp;gc_cont=0.286
Pithovirus_LCDPAC01.fna|MK500279.1	Pithovirus_LCDPAC01.fna|MK500279.1_42	-	VOG00742	-	3.7e-13	48.4	1.6	2.4e-07	29.3	0.3	2.1	1	1	1	2	2	2	2	27352	27963	1	ID=10_42;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.343
Tupanvirus_soda_lake	Tupanvirus_soda_lake_288	-	VOG00742	-	4.1e-13	48.2	4.4	3.7e-06	25.4	0.1	4.0	2	1	2	4	4	4	3	301114	305424	-1	ID=1_288;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=3bp;gc_cont=0.322
Tupanvirus_soda_lake	Tupanvirus_soda_lake_41	-	VOG00742	-	7.9e-13	47.3	6.7	7.5e-07	27.6	1.0	2.1	1	1	1	2	2	2	2	37043	38227	-1	ID=1_41;partial=00;start_type=ATG;rbs_motif=TAAAT;rbs_spacer=3bp;gc_cont=0.273
GD2017-2_urea	GD2017-2_urea_57	-	VOG00742	-	8.3e-13	47.2	0.1	1.4e-12	46.4	0.1	1.4	1	0	0	1	1	1	1	45569	46504	1	ID=1_57;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=3bp;gc_cont=0.437
GD2017_2_strous	GD2017_2_strous_1153	-	VOG00742	-	4e-12	45.0	1.5	5e-12	44.6	1.5	1.1	1	0	0	1	1	1	1	1267074	1267751	1	ID=1_1153;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=10bp;gc_cont=0.268
Pithovirus_LCDPAC01.fna|MK500287.1	Pithovirus_LCDPAC01.fna|MK500287.1_11	-	VOG00742	-	2.3e-11	42.5	0.4	7.8e-11	40.7	0.3	1.6	1	1	0	1	1	1	1	7501	8346	1	ID=3_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.378
Tupanvirus_soda_lake	Tupanvirus_soda_lake_699	-	VOG00742	-	5.4e-11	41.2	1.9	1.4e-10	39.9	1.9	1.5	1	1	0	1	1	1	1	814457	815011	-1	ID=1_699;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.276
Hydrivirus	Hydrivirus_461	-	VOG00742	-	9e-11	40.5	2.4	2.4e-09	35.8	0.5	2.1	1	1	1	2	2	2	2	472306	473661	1	ID=1_461;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
Tupanvirus_soda_lake	Tupanvirus_soda_lake_700	-	VOG00742	-	9.9e-11	40.4	1.9	1.7e-10	39.6	1.9	1.3	1	1	0	1	1	1	1	815067	815681	-1	ID=1_700;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=8bp;gc_cont=0.276
Tupanvirus_soda_lake	Tupanvirus_soda_lake_1131	-	VOG01066	-	3.3e-77	259.5	10.0	4.1e-77	259.2	10.0	1.0	1	0	0	1	1	1	1	1283572	1284552	-1	ID=1_1131;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=8bp;gc_cont=0.314
Tupanvirus_soda_lake	Tupanvirus_soda_lake_122	-	VOG01066	-	6.6e-74	248.7	21.2	1.4e-72	244.3	21.2	2.0	1	1	0	1	1	1	1	118285	119598	-1	ID=1_122;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=8bp;gc_cont=0.354
GD2017_2_strous	GD2017_2_strous_1050	-	VOG01066	-	2.4e-73	246.8	10.2	3.4e-73	246.3	10.2	1.1	1	0	0	1	1	1	1	1166291	1167580	1	ID=1_1050;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=11bp;gc_cont=0.391
GD2017_2_strous	GD2017_2_strous_16	-	VOG01066	-	3.7e-72	242.9	10.6	4.9e-72	242.5	10.6	1.0	1	0	0	1	1	1	1	11283	12293	-1	ID=1_16;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=7bp;gc_cont=0.341
Tupanvirus_soda_lake	Tupanvirus_soda_lake_793	-	VOG01066	-	9.4e-61	205.3	0.2	1.2e-60	205.0	0.2	1.0	1	0	0	1	1	1	1	920369	921349	-1	ID=1_793;partial=00;start_type=ATG;rbs_motif=ATATA;rbs_spacer=3bp;gc_cont=0.347
GD2017_2_strous	GD2017_2_strous_343	-	VOG01066	-	1.3e-58	198.2	0.0	1.5e-58	198.1	0.0	1.0	1	0	0	1	1	1	1	362178	363128	1	ID=1_343;partial=00;start_type=ATG;rbs_motif=TATATA;rbs_spacer=8bp;gc_cont=0.381
DRTY6	DRTY6_171	-	VOG01066	-	6.6e-56	189.3	1.4	1.2e-55	188.5	1.4	1.3	1	1	0	1	1	1	1	158740	159999	-1	ID=1_171;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
Pacmanvirus_A23	Pacmanvirus_A23_276	-	VOG01066	-	1.8e-46	158.2	0.1	2.2e-46	157.9	0.1	1.0	1	0	0	1	1	1	1	234779	235609	-1	ID=1_276;partial=00;start_type=ATG;rbs_motif=TAAAT;rbs_spacer=14bp;gc_cont=0.369
bjp_ig5181	bjp_ig5181_61	-	VOG01066	-	2.5e-19	68.8	1.0	3.5e-19	68.3	1.0	1.1	1	0	0	1	1	1	1	46645	47619	1	ID=1_61;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.485
GD2017_2_strous	GD2017_2_strous_1106	-	VOG01375	-	3.5e-65	219.9	41.9	9.6e-29	99.7	13.0	4.1	1	1	2	3	3	3	3	1219560	1220999	1	ID=1_1106;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=7bp;gc_cont=0.328
GD2017-2_urea	GD2017-2_urea_129	-	VOG01375	-	4.5e-23	81.0	0.0	0.002	16.3	0.0	7.2	1	1	6	7	7	7	6	124397	125848	1	ID=1_129;partial=00;start_type=ATG;rbs_motif=TTTTT;rbs_spacer=13bp;gc_cont=0.424
GD2017_2_strous	GD2017_2_strous_528	-	VOG01375	-	4.4e-21	74.5	9.2	1.2e-16	59.8	2.5	3.1	1	1	2	3	3	3	3	559779	560936	1	ID=1_528;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=14bp;gc_cont=0.293
GD2017-2_urea	GD2017-2_urea_33	-	VOG01375	-	7.5e-16	57.2	0.0	0.0066	14.5	0.0	4.1	1	1	3	4	4	4	4	27116	28246	-1	ID=1_33;partial=00;start_type=ATG;rbs_motif=TTTTT;rbs_spacer=13bp;gc_cont=0.384
GD2017-2_urea	GD2017-2_urea_58	-	VOG01375	-	1.1e-15	56.7	0.0	0.034	12.2	0.0	5.9	2	2	4	6	6	6	6	46540	48129	1	ID=1_58;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=13bp;gc_cont=0.391
Tupanvirus_soda_lake	Tupanvirus_soda_lake_612	-	VOG01375	-	3.2e-15	55.1	6.7	4.9e-12	44.6	2.0	3.1	1	1	2	3	3	3	3	726077	727234	-1	ID=1_612;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=3bp;gc_cont=0.271
GD2017_2_strous	GD2017_2_strous_1117	-	VOG01375	-	3.9e-15	54.9	8.6	8.2e-15	53.8	8.6	1.4	1	1	0	1	1	1	1	1233456	1234499	1	ID=1_1117;partial=00;start_type=ATG;rbs_motif=TAAAT;rbs_spacer=5bp;gc_cont=0.322
Tupanvirus_soda_lake	Tupanvirus_soda_lake_55	-	VOG01375	-	1.4e-14	53.0	8.3	1.3e-13	49.8	7.6	2.4	1	1	0	1	1	1	1	51198	52241	-1	ID=1_55;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=6bp;gc_cont=0.300
GD2017_2_strous	GD2017_2_strous_190	-	VOG01375	-	1.1e-13	50.1	5.9	1.4e-13	49.7	5.9	1.2	1	0	0	1	1	1	1	184991	185731	-1	ID=1_190;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=13bp;gc_cont=0.355
GD2017_2_strous	GD2017_2_strous_989	-	VOG01375	-	8.6e-13	47.1	5.5	8.3e-06	24.1	0.3	2.9	1	1	2	3	3	3	3	1106977	1107861	1	ID=1_989;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=8bp;gc_cont=0.286
Tupanvirus_soda_lake	Tupanvirus_soda_lake_311	-	VOG01375	-	9.6e-13	47.0	3.8	1.2e-12	46.7	3.8	1.3	1	0	0	1	1	1	1	334609	335217	-1	ID=1_311;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=3bp;gc_cont=0.269
GD2017_2_strous	GD2017_2_strous_347	-	VOG01375	-	1.8e-12	46.1	0.8	2.8e-09	35.6	0.4	2.2	1	1	1	2	2	2	2	364233	364970	1	ID=1_347;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=15bp;gc_cont=0.276
Tupanvirus_soda_lake	Tupanvirus_soda_lake_790	-	VOG01375	-	4.1e-12	44.9	0.6	4.6e-07	28.3	0.4	2.2	1	1	1	2	2	2	2	918587	919240	-1	ID=1_790;partial=00;start_type=ATG;rbs_motif=ATAT;rbs_spacer=12bp;gc_cont=0.281
GD2017_2_strous	GD2017_2_strous_956	-	VOG01375	-	2.3e-11	42.5	8.2	3.9e-09	35.1	1.9	2.1	1	1	1	2	2	2	2	1075473	1076255	1	ID=1_956;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=15bp;gc_cont=0.281
Tupanvirus_soda_lake	Tupanvirus_soda_lake_933	-	VOG01375	-	2.5e-11	42.3	0.6	3.3e-11	41.9	0.6	1.2	1	0	0	1	1	1	1	1091367	1092035	1	ID=1_933;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.327
Pithovirus_LCDPAC01.fna|MK500287.1	Pithovirus_LCDPAC01.fna|MK500287.1_4	-	VOG01375	-	3.6e-11	41.8	3.1	3.4e-05	22.1	0.5	2.9	1	1	2	3	3	3	3	2290	3030	1	ID=3_4;partial=00;start_type=TTG;rbs_motif=AAAAA;rbs_spacer=13bp;gc_cont=0.377
GD2017_2_strous	GD2017_2_strous_1153	-	VOG01375	-	4.5e-11	41.5	3.2	2.4e-08	32.5	0.4	2.1	1	1	1	2	2	2	2	1267074	1267751	1	ID=1_1153;partial=00;start_type=ATG;rbs_motif=TATA;rbs_spacer=10bp;gc_cont=0.268
Tupanvirus_soda_lake	Tupanvirus_soda_lake_323	-	VOG01498	-	2.6e-101	339.7	13.5	3e-101	339.5	13.5	1.0	1	0	0	1	1	1	1	350170	351669	-1	ID=1_323;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=4bp;gc_cont=0.286
Chrysochromulina_ericina_virus	Chrysochromulina_ericina_virus_480	-	VOG01498	-	3.3e-101	339.4	8.9	3.6e-101	339.2	8.9	1.0	1	0	0	1	1	1	1	442103	443428	1	ID=1_480;partial=00;start_type=ATG;rbs_motif=TATAT;rbs_spacer=12bp;gc_cont=0.271
