GVOG	num_species_with_GVOG	consensus_NOG	nog_category_abbr	nog_category	nog_description	proteins_with_plurality_NOG_annotation	consensus_pfam	pfam_desc	prots_with_plurality_pfam_annotation	proteins_in_GVOG
GVOG00108	38	no_annot	no_annot	no_annot	no_annot	24	no_annot	no_annot	38	38
GVOG00109	27	no_annot	no_annot	no_annot	no_annot	20	no_annot	no_annot	27	27
GVOG00110	10	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	5	no_annot	no_annot	10	10
GVOG00111	10	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	10	10
GVOG00112	56	no_annot	no_annot	no_annot	no_annot	56	no_annot	no_annot	56	56
GVOG00113	32	2QRRC	L	Replication, recombination and repair	reductase	32	PF17975	; RNR_Alpha; Ribonucleotide reductase alpha domain	17	32
GVOG00114	67	no_annot	no_annot	no_annot	no_annot	65	no_annot	no_annot	67	67
GVOG00115	17	no_annot	no_annot	no_annot	no_annot	17	no_annot	no_annot	17	17
GVOG00116	30	no_annot	no_annot	no_annot	no_annot	30	no_annot	no_annot	30	30
GVOG00117	25	no_annot	no_annot	no_annot	no_annot	19	no_annot	no_annot	25	25
GVOG00118	40	no_annot	no_annot	no_annot	no_annot	35	no_annot	no_annot	40	40
GVOG00119	8	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	5	8
GVOG00120	8	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	8	8
GVOG00121	8	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	8	8
GVOG00122	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00123	8	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	8	8
GVOG00124	8	KOG2605	G	Carbohydrate transport and metabolism	thiol-dependent ubiquitin-specific protease activity	6	no_annot	no_annot	5	8
GVOG00125	8	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	8	8
GVOG00126	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00127	8	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	8	8
GVOG00128	29	no_annot	no_annot	no_annot	no_annot	29	no_annot	no_annot	29	29
GVOG00129	15	COG0598	P	Inorganic ion transport and metabolism	Magnesium transport protein CorA	13	PF01544	; CorA; CorA-like Mg2+ transporter protein	14	15
GVOG00130	21	no_annot	no_annot	no_annot	no_annot	20	no_annot	no_annot	21	21
GVOG00131	25	no_annot	no_annot	no_annot	no_annot	23	no_annot	no_annot	25	25
GVOG00132	25	no_annot	no_annot	no_annot	no_annot	22	no_annot	no_annot	25	25
GVOG00133	11	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	11	11
GVOG00134	28	no_annot	no_annot	no_annot	no_annot	24	no_annot	no_annot	28	28
GVOG00135	17	COG0699	T	Signal transduction mechanisms	ATPase. Has a role at an early stage in the morphogenesis of the spore coat	11	PF00350	P-loop_NTPase; Dynamin_N; Dynamin family	12	17
GVOG00136	33	no_annot	no_annot	no_annot	no_annot	19	no_annot	no_annot	32	33
GVOG00137	9	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	9	9
GVOG00138	6	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	6	6
GVOG00139	13	no_annot	no_annot	no_annot	no_annot	13	no_annot	no_annot	13	13
GVOG00140	9	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	9	9
GVOG00141	6	KOG0945	H	Coenzyme transport and metabolism	holo-[acyl-carrier-protein] synthase activity	6	PF01648	4PPT; ACPS; 4'-phosphopantetheinyl transferase superfamily	4	6
GVOG00142	9	2QV9K	S	Function unknown	negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation	6	PF10488	; PP1c_bdg; Phosphatase-1 catalytic subunit binding region	9	9
GVOG00143	7	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	7	7
GVOG00144	6	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	2	no_annot	no_annot	6	6
GVOG00145	6	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	6	6
GVOG00146	6	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	6	6
GVOG00147	6	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	6	6
GVOG00148	6	no_annot	no_annot	no_annot	no_annot	4	no_annot	no_annot	6	6
GVOG00149	6	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	6	6
GVOG00150	9	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	9	9
GVOG00151	6	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	6	6
GVOG00152	7	2REND	S	Function unknown	Hint-domain	7	PF14623	H-int; Vint; Hint-domain	7	7
GVOG00153	7	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	3	no_annot	no_annot	7	7
GVOG00154	9	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	9	9
GVOG00155	7	no_annot	no_annot	no_annot	no_annot	4	no_annot	no_annot	7	7
GVOG00156	6	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	6	6
GVOG00157	6	30F9B	S	Function unknown	Phage tail tube, TTP, lambda-like	4	no_annot	no_annot	6	6
GVOG00158	6	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	6	6
GVOG00159	7	no_annot	no_annot	no_annot	no_annot	4	no_annot	no_annot	5	7
GVOG00160	23	no_annot	no_annot	no_annot	no_annot	22	no_annot	no_annot	23	23
GVOG00161	36	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	16	no_annot	no_annot	21	36
GVOG00162	34	no_annot	no_annot	no_annot	no_annot	30	no_annot	no_annot	34	34
GVOG00163	118	no_annot	no_annot	no_annot	no_annot	71	no_annot	no_annot	95	118
GVOG00164	19	no_annot	no_annot	no_annot	no_annot	16	no_annot	no_annot	19	19
GVOG00165	18	no_annot	no_annot	no_annot	no_annot	11	no_annot	no_annot	16	18
GVOG00166	29	no_annot	no_annot	no_annot	no_annot	27	PF05803	; Chordopox_L2; Chordopoxvirus L2 protein	29	29
GVOG00167	19	no_annot	no_annot	no_annot	no_annot	16	no_annot	no_annot	19	19
GVOG00168	49	no_annot	no_annot	no_annot	no_annot	48	no_annot	no_annot	49	49
GVOG00169	13	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	13	13
GVOG00170	24	no_annot	no_annot	no_annot	no_annot	24	no_annot	no_annot	24	24
GVOG00171	15	no_annot	no_annot	no_annot	no_annot	14	no_annot	no_annot	15	15
GVOG00172	18	no_annot	no_annot	no_annot	no_annot	10	no_annot	no_annot	18	18
GVOG00173	10	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	10	10
GVOG00174	10	no_annot	no_annot	no_annot	no_annot	10	no_annot	no_annot	10	10
GVOG00175	10	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	10	10
GVOG00176	21	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	10	no_consensus_PFAM	no_consensus_PFAM	10	21
GVOG00177	8	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	3	no_annot	no_annot	8	8
GVOG00178	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00179	8	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	8	8
GVOG00180	8	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	8	8
GVOG00181	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00182	28	COG0323	L	Replication, recombination and repair	This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex	15	PF13589	His_Kinase_A; HATPase_c_3; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	26	28
GVOG00183	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00184	13	no_annot	no_annot	no_annot	no_annot	13	no_annot	no_annot	13	13
GVOG00185	29	no_annot	no_annot	no_annot	no_annot	24	PF05961	; Chordopox_A13L; Chordopoxvirus A13L protein	29	29
GVOG00186	9	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	9	9
GVOG00187	9	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	9	9
GVOG00188	9	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	9	9
GVOG00189	9	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	9	9
GVOG00190	9	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	9	9
GVOG00191	9	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	7	9
GVOG00192	9	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	9	9
GVOG00193	9	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	9	9
GVOG00194	9	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	9	9
GVOG00195	15	no_annot	no_annot	no_annot	no_annot	15	no_annot	no_annot	15	15
GVOG00196	19	no_annot	no_annot	no_annot	no_annot	18	no_annot	no_annot	19	19
GVOG00197	20	no_annot	no_annot	no_annot	no_annot	20	no_annot	no_annot	20	20
GVOG00198	11	no_annot	no_annot	no_annot	no_annot	11	no_annot	no_annot	11	11
GVOG00199	12	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	12	12
GVOG00200	12	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	12	12
GVOG00201	41	no_annot	no_annot	no_annot	no_annot	41	no_annot	no_annot	41	41
GVOG00202	33	no_annot	no_annot	no_annot	no_annot	32	no_annot	no_annot	33	33
GVOG00203	32	no_annot	no_annot	no_annot	no_annot	31	no_annot	no_annot	32	32
GVOG00204	17	no_annot	no_annot	no_annot	no_annot	11	no_annot	no_annot	16	17
GVOG00205	35	no_annot	no_annot	no_annot	no_annot	34	no_annot	no_annot	35	35
GVOG00206	19	2Z8N2	L	Replication, recombination and repair	Dam-replacing family	17	PF06044	PDDEXK; DpnI; Dam-replacing family	14	19
GVOG00207	19	33GXI	S	Function unknown	unknown	10	no_annot	no_annot	19	19
GVOG00208	13	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	PF04564	RING; U-box; U-box domain	13	13
GVOG00209	13	KOG2551	O	Post-translational modification, protein turnover, and chaperones	polyketide biosynthetic process	12	PF03959	AB_hydrolase; FSH1; Serine hydrolase (FSH1)	13	13
GVOG00210	13	COG0688	I	Lipid transport and metabolism	phosphatidylethanolamine metabolic process	8	PF02666	; PS_Dcarbxylase; Phosphatidylserine decarboxylase	12	13
GVOG00211	18	no_annot	no_annot	no_annot	no_annot	16	no_annot	no_annot	18	18
GVOG00212	14	no_annot	no_annot	no_annot	no_annot	11	no_annot	no_annot	14	14
GVOG00213	36	no_annot	no_annot	no_annot	no_annot	31	no_annot	no_annot	36	36
GVOG00214	16	no_annot	no_annot	no_annot	no_annot	16	no_annot	no_annot	16	16
GVOG00215	17	no_annot	no_annot	no_annot	no_annot	14	no_annot	no_annot	16	17
GVOG00216	17	2S7CV	S	Function unknown	BEST Arabidopsis thaliana protein match is	13	PF15054	; DUF4535; Domain of unknown function (DUF4535)	17	17
GVOG00217	10	no_annot	no_annot	no_annot	no_annot	10	no_annot	no_annot	10	10
GVOG00218	10	no_annot	no_annot	no_annot	no_annot	10	no_annot	no_annot	10	10
GVOG00219	38	no_annot	no_annot	no_annot	no_annot	37	no_annot	no_annot	38	38
GVOG00220	12	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	7	12
GVOG00221	18	2RYBS	J	Translation, ribosomal structure and biogenesis	pre-miRNA processing	10	PF00035	DSRM; dsrm; Double-stranded RNA binding motif	15	18
GVOG00222	19	no_annot	no_annot	no_annot	no_annot	19	no_annot	no_annot	19	19
GVOG00223	7	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	7	7
GVOG00224	7	no_annot	no_annot	no_annot	no_annot	4	no_annot	no_annot	7	7
GVOG00225	15	no_annot	no_annot	no_annot	no_annot	14	no_annot	no_annot	15	15
GVOG00226	15	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	15	15
GVOG00227	7	no_annot	no_annot	no_annot	no_annot	4	no_annot	no_annot	7	7
GVOG00228	7	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	7	7
GVOG00229	7	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	7	7
GVOG00230	7	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	6	7
GVOG00231	7	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	7	7
GVOG00232	7	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	7	7
GVOG00233	11	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	5	no_annot	no_annot	11	11
GVOG00234	11	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	10	11
GVOG00235	14	no_annot	no_annot	no_annot	no_annot	12	no_annot	no_annot	14	14
GVOG00236	19	no_annot	no_annot	no_annot	no_annot	18	no_annot	no_annot	19	19
GVOG00237	9	2SXC8	S	Function unknown	unknown	9	no_annot	no_annot	9	9
GVOG00238	9	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	PF00704	Glyco_hydro_tim; Glyco_hydro_18; Glycosyl hydrolases family 18	9	9
GVOG00239	9	no_annot	no_annot	no_annot	no_annot	9	no_annot	no_annot	9	9
GVOG00240	9	no_annot	no_annot	no_annot	no_annot	6	no_annot	no_annot	9	9
GVOG00241	17	no_annot	no_annot	no_annot	no_annot	17	no_annot	no_annot	17	17
GVOG00242	27	no_annot	no_annot	no_annot	no_annot	22	no_annot	no_annot	27	27
GVOG00243	15	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	5	PF13472	SGNH_hydrolase; Lipase_GDSL_2; GDSL-like Lipase/Acylhydrolase family	9	15
GVOG00244	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00245	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00246	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00247	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00248	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00249	8	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	PF00551	; Formyl_trans_N; Formyl transferase	8	8
GVOG00250	8	2SGDJ	S	Function unknown	unknown	6	no_annot	no_annot	8	8
GVOG00251	8	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	8	8
GVOG00252	8	COG1605	E	Amino acid transport and metabolism	Chorismate mutase	6	PF01817	; CM_2; Chorismate mutase type II	8	8
GVOG00253	8	no_annot	no_annot	no_annot	no_annot	7	no_annot	no_annot	8	8
GVOG00254	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00255	8	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	8	8
GVOG00256	8	no_annot	no_annot	no_annot	no_annot	8	no_annot	no_annot	8	8
GVOG00257	12	KOG0748	T	Signal transduction mechanisms	response to hormone	12	PF03006	GPCR_A; HlyIII; Haemolysin-III related	12	12
GVOG00258	22	no_annot	no_annot	no_annot	no_annot	20	no_annot	no_annot	22	22
GVOG00259	32	KOG3011	M	Cell wall/membrane/envelope biogenesis	protein ubiquitination	29	PF10520	; TMEM189_B_dmain; B domain of TMEM189, localisation domain	31	32
GVOG00260	13	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	no_consensus_NOG	4	no_annot	no_annot	12	13
GVOG00261	18	no_annot	no_annot	no_annot	no_annot	18	no_annot	no_annot	18	18
GVOG00262	5	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	5	5
GVOG00263	6	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	6	6
GVOG00264	5	no_annot	no_annot	no_annot	no_annot	5	no_annot	no_annot	5	5
